serial,token,transfer_volume,transfer_amount,unique_sender,unique_receiver,transfer_count,serial,token,transfer_volume,transfer_amount,unique_sender,unique_receiver,transfer_count
1,Binance-Peg BUSD Token (BUSD),"$3,616,665,731,695.88 ","3,616,015,403,619.99 BUSD","81,181,055","61,049,374",366184162,,,,,,,
,Binance-Peg BSC-USD (BSC-USD),"$3,369,240,501,224.05 ",,,,,2,"3,365,874,626,597.45 BSC-USD","91,676,053","77,382,738",345301578,,
3,Venus BUSD (vBUSD),"$1,678,765,719,781.06 ","77,173,555,058,801.80 vBUSD","100,345","89,653",964809,,,,,,,
,Venus USDT (vUSDT),"$1,395,161,206,030.36 ",,,,,4,"63,750,282,160,890.30 vUSDT","69,549","65,718",569612,,
5,Zilliqa (ZIL),"$1,053,476,084,447.88 ","47,007,140,448,471.10 ZIL","206,122","143,385",664378,,,,,,,
,Binance-Peg USD Coin (USDC),"$849,349,934,670.41 ",,,,,6,"849,358,074,748.32 USDC","6,963,430","5,952,283",29555345,,
7,Wrapped BNB (WBNB),"$618,631,754,879.38 ","2,157,692,946.75 WBNB","10,928,199","10,392,768",731458996,,,,,,,
,Venus BTC (vBTC),"$521,000,266,278.23 ",,,,,8,"598,539,142.36 vBTC","122,113","73,576",488766,,
9,Binance-Peg BTCB Token (BTCB),"$503,063,400,265.17 ","29,378,194.62 BTCB","6,575,845","2,444,479",26637061,,,,,,,
,Binance-Peg Ethereum Token (ETH),"$487,714,468,906.47 ",,,,,10,"385,515,825.45 ETH","11,312,702","5,218,670",38834294,,
11,Binance Beacon ETH (BETH),"$484,232,030,721.22 ","320,322,301.80 BETH","129,520","117,781",516213,,,,,,,
,Venus USDC (vUSDC),"$425,684,838,772.48 ",,,,,12,"19,577,746,130,904.00 vUSDC","38,570","34,021",336972,,
13,Binance-Peg Dai Token (DAI),"$192,862,817,718.72 ","192,924,228,819.05 DAI","1,230,180","1,049,963",6656653,,,,,,,
,PancakeSwap Token (Cake),"$157,060,809,883.11 ",,,,,14,"39,514,529,925.99 Cake","28,070,094","21,653,062",178741169,,
15,Venus DAI (vDAI),"$105,424,794,777.44 ","4,894,459,044,551.05 vDAI","10,545","8,845",104012,,,,,,,
,Venus ETH (vETH),"$96,038,263,347.86 ",,,,,16,"8,476,961,752.41 vETH","88,131","62,226",396386,,
17,SiaCashCoin (SCC),"$38,225,072,965.73 ","50,000,095,442,420,400.00 SCC","19,398","2,585",24338,,,,,,,
,Venus BETH (vBETH),"$33,727,068,741.52 ",,,,,18,"533,008,820.47 vBETH","10,222","8,267",47287,,
19,Binance-Peg TrueUSD Token (TUSD),"$23,463,689,426.84 ","23,467,538,103.08 TUSD","158,648","139,751",571062,,,,,,,
,Trust Wallet (TWT),"$22,019,344,233.96 ",,,,,20,"8,433,001,011.21 TWT","1,393,693","1,012,577",3767226,,
21,VAI Stablecoin (VAI),"$21,658,106,760.76 ","22,156,364,314.80 VAI","343,435","338,262",1884533,,,,,,,
,Binance-Peg Cardano Token (ADA),"$15,411,860,177.94 ",,,,,22,"49,439,362,956.71 ADA","4,594,623","1,527,015",11685865,,
23,Binance-Peg Polkadot Token (DOT),"$15,185,622,579.83 ","2,867,970,575.89 DOT","1,457,569","843,238",5626797,,,,,,,
,NDB (NDB),"$14,610,627,936.88 ",,,,,24,"1,150,208,574,541.17 NDB",351,228,617,,
25,USDC (anyUSDC),"$13,939,361,753.91 ","13,939,495,347.25 anyUSDC","379,686","379,347",1074131,,,,,,,
,Binance-Peg XRP Token (XRP),"$13,921,655,530.00 ",,,,,26,"35,839,175,983.52 XRP","1,884,253","773,710",5624898,,
27,Binance-Peg ChainLink Token (LINK),"$11,622,255,815.93 ","1,699,578,568.98 LINK","706,722","386,556",2912910,,,,,,,
,Binance-Peg Dogecoin Token (DOGE),"$9,897,111,698.18 ",,,,,28,"102,399,559,182.80 DOGE","9,184,581","1,739,808",24553621,,
29,Matic Token (MATIC),"$8,820,452,663.77 ","9,749,933,305.66 MATIC","1,542,087","542,475",4310937,,,,,,,
,Venus DOT (vDOT),"$6,705,417,532.26 ",,,,,30,"58,134,864,743.33 vDOT","42,140","28,957",160872,,
31,Venus ADA (vADA),"$6,238,686,697.60 ","973,802,871,765.53 vADA","35,427","24,522",125271,,,,,,,
,pTokens GALA (GALA),"$5,584,960,156.24 ",,,,,32,"218,948,496,996.60 GALA","310,734","215,960",1096329,,
33,Binance-Peg Litecoin Token (LTC),"$4,943,245,024.66 ","64,751,317.50 LTC","407,145","305,257",1702907,,,,,,,
,Venus LINK (vLINK),"$4,702,602,908.70 ",,,,,34,"33,909,266,003.96 vLINK","20,016","14,183",107316,,
35,Baby Doge Coin (BabyDoge),"$4,591,437,274.65 ","4,174,033,886,049,070,000.00 BabyDoge","4,019,452","1,766,863",6836177,,,,,,,
,Biswap (BSW),"$4,059,591,727.85 ",,,,,36,"19,234,484,017.90 BSW","3,527,288","3,203,837",23353504,,
37,AlpacaToken (ALPACA),"$3,667,227,638.07 ","13,319,583,468.58 ALPACA","927,652","844,589",9694802,,,,,,,
,Venus XRP (vXRP),"$3,481,010,683.78 ",,,,,38,"442,687,206,075.38 vXRP","15,001","11,086",47832,,
39,Binance-Peg Avalanche Token (AVAX),"$3,327,393,834.03 ","248,868,850.98 AVAX","345,333","186,599",1177536,,,,,,,
,Venus (XVS),"$3,193,012,176.33 ",,,,,40,"764,094,753.72 XVS","769,852","622,657",4761910,,
41,GG TOKEN (GGTKN),"$3,124,015,516.87 ","32,590,262,285.05 GGTKN","24,133","7,094",32276,,,,,,,
,Swipe (SXP),"$2,921,641,224.32 ",,,,,42,"11,967,171,125.85 SXP","315,054","238,024",1647320,,
43,BakeryToken (BAKE),"$2,618,846,167.39 ","14,653,174,225.29 BAKE","1,161,602","842,158",7033699,,,,,,,
,Binance-Peg BitTorrent Token (BTT),"$2,569,878,532.44 ",,,,,44,"953,081,168,689.90 BTT","359,118","224,977",888831,,
45,SafePal Token (SFP),"$2,376,721,464.21 ","5,105,055,564.21 SFP","1,105,253","884,503",3365417,,,,,,,
,Binance-Peg Uniswap (UNI),"$1,944,218,795.79 ",,,,,46,"315,392,855.44 UNI","356,009","221,277",1721838,,
47,Binance-Peg SHIBA INU Token (SHIB),"$1,942,897,410.83 ","209,678,010,255,167.00 SHIB","6,503,365","1,702,191",15211948,,,,,,,
,beefy.finance (BIFI),"$1,792,841,372.15 ",,,,,48,"4,986,209.18 BIFI","239,623","207,512",1642318,,
49,MDX Token (MDX),"$1,636,857,622.81 ","18,450,389,007.89 MDX","1,406,799","1,168,792",17116905,,,,,,,
,Binance-Peg EOS Token (EOS),"$1,594,019,641.40 ",,,,,50,"1,547,353,889.66 EOS","169,912","123,640",785627,,
51,Hook Token (HOOK),"$1,410,720,645.47 ","597,762,985.37 HOOK","2,315","1,483",6829,,,,,,,
,Green Metaverse Token (GMT),"$1,315,879,669.41 ",,,,,52,"3,255,290,750.31 GMT","1,081,749","864,488",3000235,,
53,Decentralized USD (USDD),"$1,290,428,192.62 ","1,323,142,900.85 USDD","16,684","13,242",49608,,,,,,,
,Venus LTC (vLTC),"$1,239,142,902.81 ",,,,,54,"802,291,808.33 vLTC","10,060","8,131",30008,,
55,Binance-Peg Cosmos Token (ATOM),"$1,150,974,807.88 ","118,654,602.44 ATOM","226,465","159,864",949960,,,,,,,
,StandardBTCHashrateToken (BTCST),"$1,115,728,221.64 ",,,,,56,"215,808,166.66 BTCST","270,392","238,017",1043038,,
57,Binance-Peg Bitcoin Cash Token (BCH),"$1,010,799,465.47 ","9,188,901.25 BCH","102,914","84,427",410698,,,,,,,
,BIDR BEP20 (BIDR),"$997,442,070.32 ",,,,,58,"14,188,304,606,388.10 BIDR","31,486","21,602",74794,,
59,Anyswap-BEP20 (ANY),"$995,747,298.45 ","234,473,736.02 ANY","264,123","72,973",768459,,,,,,,
,Venus SXP (vSXP),"$971,695,957.65 ",,,,,60,"197,419,865,354.02 vSXP","22,800","18,606",107551,,
61,Tokocrypto Token (TKO),"$953,207,673.37 ","2,593,204,925.67 TKO","349,557","246,904",1049661,,,,,,,
,Keep3r BSC Network (KP3RB),"$877,616,819.90 ",,,,,62,"6,062,354,753.92 KP3RB","24,392","18,345",133571,,
63,Cerby Token (CERBY),"$855,534,203.11 ","5,288,256,911,274.70 CERBY","4,499","3,816",13853,,,,,,,
,Binance-Peg IoTeX Network (IOTX),"$718,184,270.67 ",,,,,64,"31,139,085,527.34 IOTX","153,764","105,189",794549,,
65,Okse (OKSE),"$666,491,328.69 ","4,971,515,632.26 OKSE","13,598","8,015",37648,,,,,,,
,Chain (XCN),"$659,828,463.31 ",,,,,66,"16,796,682,946.16 XCN","33,498","25,496",113943,,
67,Venus XVS (vXVS),"$653,785,822.44 ","7,761,358,830.44 vXVS","125,406","63,288",282063,,,,,,,
,AlphaToken (ALPHA),"$653,583,778.46 ",,,,,68,"7,301,338,712.68 ALPHA","119,537","94,912",733693,,
69,Fantom (FTM),"$652,789,266.08 ","2,733,394,464.80 FTM","367,387","206,264",1299624,,,,,,,
,Burger Swap (BURGER),"$649,670,059.37 ",,,,,70,"875,450,349.23 BURGER","221,308","173,313",3650596,,
71,AUTOv2 (AUTO),"$644,809,731.04 ","2,703,061.62 AUTO","862,756","475,639",7538344,,,,,,,
,SafeMoon (SFM),"$618,228,302.48 ",,,,,72,"2,565,156,227,893.02 SFM","1,222,715","228,056",3804849,,
73,MIOTAC (IOTA),"$611,904,525.00 ","2,943,773,452.83 IOTA","82,223","48,498",369225,,,,,,,
,FEGtoken (FEG),"$586,098,680.03 ",,,,,74,"976,831,133,381,222,000.00 FEG","2,402,328","1,139,575",4337863,,
75,BitTorrent (BTT),"$585,171,874.54 ","864,487,922,209,096.00 BTT","93,909","54,888",192176,,,,,,,
,Virtual Meta (VMA),"$565,450,048.84 ",,,,,76,"21,169,983,546.95 VMA","1,002",586,2699,,
77,RAMP DEFI (RAMP),"$553,840,451.54 ","7,119,137,893.15 RAMP","192,107","158,200",861028,,,,,,,
,Unidef (U),"$539,395,353.77 ",,,,,78,"2,230,381,052,635.11 U","57,525","5,292",62711,,
79,ArenaPlay (APC),"$533,555,367.41 ","768,422,021.42 APC","158,742","33,570",402215,,,,,,,
,FC Santos Fan Token (SANTOS),"$508,534,369.45 ",,,,,80,"78,043,876.53 SANTOS","302,326","284,351",737214,,
81,Grove Token (GVR),"$498,483,165.91 ","623,103,957,384,317,000.00 GVR","1,246,337","47,913",1869045,,,,,,,
,DODO bird (DODO),"$470,200,481.48 ",,,,,82,"3,870,759,263.03 DODO","261,072","192,814",963371,,
83,Adonis (ADON),"$456,251,070.26 ","5,617,679,429.90 ADON","1,827",539,3152,,,,,,,
,ALICE (ALICE),"$437,757,577.51 ",,,,,84,"331,634,528.42 ALICE","309,320","240,323",1193934,,
85,Coin98 (C98),"$431,296,174.51 ","1,878,566,795.95 C98","355,087","249,387",1183846,,,,,,,
,Wrapped USTC Token (USTC),"$425,905,418.35 ",,,,,86,"18,212,045,936.73 USTC","702,870","658,145",5251395,,
87,ApeSwapFinance Banana (BANANA),"$424,117,814.90 ","6,380,206,018.93 BANANA","2,186,195","1,827,007",19241557,,,,,,,
,Binance-Peg Elrond Token (EGLD),"$420,098,900.55 ",,,,,88,"9,322,799.57 EGLD","158,817","99,479",530220,,
89,Binance-Peg Axie Infinity Shard Token (AXS),"$414,811,400.02 ","52,375,176.77 AXS","484,943","181,530",1711420,,,,,,,
,Binance-Peg Ethereum Classic (ETC),"$409,820,663.04 ",,,,,90,"21,413,966.73 ETC","102,654","58,873",392418,,
91,Prometeus (PROM),"$408,403,657.80 ","76,366,835.82 PROM","62,827","20,913",97416,,,,,,,
,1INCH Token (1INCH),"$388,932,810.53 ",,,,,92,"875,430,611.90 1INCH","489,029","359,300",1848952,,
93,QANX Token (QANX),"$365,877,745.60 ","64,939,297,960.21 QANX","149,469","98,364",444127,,,,,,,
,Binance-Peg Band Protocol Token (BAND),"$361,949,475.55 ",,,,,94,"177,091,396.55 BAND","69,415","58,535",398461,,
95,Ellipsis (EPS),"$355,728,892.04 ","11,125,953,645.23 EPS","630,182","562,234",2853824,,,,,,,
,Chess (CHESS),"$355,614,250.13 ",,,,,96,"1,684,449,544.93 CHESS","218,154","183,871",714249,,
97,Reef.finance (REEF),"$353,624,577.93 ","116,903,384,390.92 REEF","442,201","289,298",1279025,,,,,,,
,Linear Token (LINA),"$350,811,964.86 ",,,,,98,"56,043,383,393.66 LINA","194,562","168,709",928691,,
99,Frax (FRAX),"$347,493,318.95 ","347,146,172.78 FRAX","10,525","10,179",51313,,,,,,,
,Binance-Peg NEAR Protocol (NEAR),"$333,792,256.50 ",,,,,100,"196,186,748.19 NEAR","163,526","106,084",835933,,
99,Frax (FRAX),"$347,493,318.95 ","347,146,172.78 FRAX","10,525","10,179",,,,,,,,
